thread_name,thread_url
DAX Futures September 2023,https://www.forexfactory.com/thread/1226375-dax-futures-september-2023
Swing Trades DAX/DOW/NQ/GOLD,https://www.forexfactory.com/thread/819560-swing-trades-daxdownqgold
Volman meets Burke or My journey with PA,https://www.forexfactory.com/thread/1177037-volman-meets-burke-or-my-journey-with-pa
"Pips, charts and trades",https://www.forexfactory.com/thread/1089272-pips-charts-and-trades
DOW Futures,https://www.forexfactory.com/thread/940801-dow-futures
sjmr2,https://www.forexfactory.com/thread/1187236-sjmr2
MY Journal-phil13,https://www.forexfactory.com/thread/455929-my-journal-phil13
News records,https://www.forexfactory.com/thread/1168092-news-records
Boulder Trading Journal,https://www.forexfactory.com/thread/1170491-boulder-trading-journal
Naked Trading With HA Handles,https://www.forexfactory.com/thread/1229064-naked-trading-with-ha-handles
MrR Charts Dashboard - Best ever Mini Charts,https://www.forexfactory.com/thread/767524-mrr-charts-dashboard-best-ever-mini-charts
RE: Georges001 Trading Journal,https://www.forexfactory.com/thread/1080496-re-georges001-trading-journal
New Average Daily Range (ADR) Indicator,https://www.forexfactory.com/thread/999672-new-average-daily-range-adr-indicator
My style of Elliott Wave,https://www.forexfactory.com/thread/817259-my-style-of-elliott-wave
Rufus,https://www.forexfactory.com/thread/213883-rufus
Time and Price Forecasting,https://www.forexfactory.com/thread/944320-time-and-price-forecasting
GBP/USD M5 Trading,https://www.forexfactory.com/thread/1153994-gbpusd-m5-trading
Faster-CH scalping system,https://www.forexfactory.com/thread/1223973-faster-ch-scalping-system
"""Little Martingale EA"" 2,  continuation thread",https://www.forexfactory.com/thread/792286-little-martingale-ea-2-continuation-thread
Nikkei cruising,https://www.forexfactory.com/thread/1155648-nikkei-cruising
Diary of a Pro Quant,https://www.forexfactory.com/thread/1223514-diary-of-a-pro-quant
Alfies's Goldmine,https://www.forexfactory.com/thread/1226866-alfiess-goldmine
The paradox System 2023 (for beginners),https://www.forexfactory.com/thread/1217686-the-paradox-system-2023-for-beginners
Rock paper scissors,https://www.forexfactory.com/thread/1109523-rock-paper-scissors
Forex smart money concepts,https://www.forexfactory.com/thread/1076737-forex-smart-money-concepts
CCFp weekly signals (set and forget basket trading),https://www.forexfactory.com/thread/635569-ccfp-weekly-signals-set-and-forget-basket-trading
"DOW - PA, Stops and hedging",https://www.forexfactory.com/thread/985078-dow-pa-stops-and-hedging
Trade for living,https://www.forexfactory.com/thread/334289-trade-for-living
in search of minimum wage,https://www.forexfactory.com/thread/1155376-in-search-of-minimum-wage
My Trading Journals,https://www.forexfactory.com/thread/1046573-my-trading-journals
ShadowdanceR's Trading Journal - Putting everything into practice,https://www.forexfactory.com/thread/1222746-shadowdancers-trading-journal-putting-everything-into-practice
Let's crack on H1,https://www.forexfactory.com/thread/1177970-lets-crack-on-h1
ICT concept on XAUUSD & US30,https://www.forexfactory.com/thread/1224503-ict-concept-on-xauusd-us30
MuniFX - Journal,https://www.forexfactory.com/thread/531850-munifx-journal
NQ Day Trading,https://www.forexfactory.com/thread/1078804-nq-day-trading
Clemmo's Trading Odyssey,https://www.forexfactory.com/thread/723531-clemmos-trading-odyssey
Harmonics 1-4-Daily,https://www.forexfactory.com/thread/1187608-harmonics-1-4-daily
my trading delusions,https://www.forexfactory.com/thread/1098224-my-trading-delusions
Keep it simple what they dont want you to see,https://www.forexfactory.com/thread/1210344-keep-it-simple-what-they-dont-want-you
roger44's bin,https://www.forexfactory.com/thread/736661-roger44s-bin
Sang Real Notes,https://www.forexfactory.com/thread/1092252-sang-real-notes
Volman Style (70-tick chart),https://www.forexfactory.com/thread/578183-volman-style-70-tick-chart
Learn to Swim,https://www.forexfactory.com/thread/378531-learn-to-swim
IFUS,https://www.forexfactory.com/thread/1181835-ifus
Waiting in the long grass,https://www.forexfactory.com/thread/1203089-waiting-in-the-long-grass
SofieCoco Journal,https://www.forexfactory.com/thread/1227240-sofiecoco-journal
Live Trades,https://www.forexfactory.com/thread/78937-live-trades
HSI: Hang Seng Index of Hongkong listed shares (real-time),https://www.forexfactory.com/thread/639229-hsi-hang-seng-index-of-hongkong-listed-shares
1M Price Action System,https://www.forexfactory.com/thread/1048270-1m-price-action-system
Monitor for 'Trading Made Simple' system,https://www.forexfactory.com/thread/303347-monitor-for-trading-made-simple-system
Southern Cross Trader,https://www.forexfactory.com/thread/564227-southern-cross-trader
News Hunter,https://www.forexfactory.com/thread/1226422-news-hunter
Just me trading Elliott wave,https://www.forexfactory.com/thread/1216485-just-me-trading-elliott-wave
Strategy Development,https://www.forexfactory.com/thread/1157627-strategy-development
To those Who Educated Me,https://www.forexfactory.com/thread/1092263-to-those-who-educated-me
FX Journal,https://www.forexfactory.com/thread/1226691-fx-journal
Futures Trading Journal Real Money,https://www.forexfactory.com/thread/1215474-futures-trading-journal-real-money
"Building a freedom, my trading journal",https://www.forexfactory.com/thread/967992-building-a-freedom-my-trading-journal
Rearden's Journal,https://www.forexfactory.com/thread/1019258-reardens-journal
The Jail Break System,https://www.forexfactory.com/thread/946516-the-jail-break-system
V Pattern (Enjoy Your Sell),https://www.forexfactory.com/thread/1147167-v-pattern-enjoy-your-sell
"Daily Bias, Liquidity Wicks, FVG",https://www.forexfactory.com/thread/1145492-daily-bias-liquidity-wicks-fvg
Fundamental Trading Journal,https://www.forexfactory.com/thread/995353-fundamental-trading-journal
"The 10,000 Hours and Beyond Club",https://www.forexfactory.com/thread/485124-the-10000-hours-and-beyond-club
My quacks like a duck 50+ system!,https://www.forexfactory.com/thread/1225645-my-quacks-like-a-duck-50-system
1:35 RR,https://www.forexfactory.com/thread/1226083-135-rr
Charting with Median Lines,https://www.forexfactory.com/thread/612650-charting-with-median-lines
"Trading Made Simple the right way, and other trading lessons",https://www.forexfactory.com/thread/494420-trading-made-simple-the-right-way-and-other
MY PASR journey Based on  Strat's PASR Trading,https://www.forexfactory.com/thread/947627-my-pasr-journey-based-on-strats-pasr
DAX Futures June 2023,https://www.forexfactory.com/thread/1211092-dax-futures-june-2023
LazyTMA  trading,https://www.forexfactory.com/thread/922947-lazytma-trading
CEDE minty discuss,https://www.forexfactory.com/thread/1225424-cede-minty-discuss
Time and price,https://www.forexfactory.com/thread/1225599-time-and-price
Day Trading Journal - CME & CBOT Futures,https://www.forexfactory.com/thread/1041532-day-trading-journal-cme-cbot-futures
Indicators: collection of Tankk,https://www.forexfactory.com/thread/1109767-indicators-collection-of-tankk
BBMA Trading,https://www.forexfactory.com/thread/1123713-bbma-trading
Secret Trader,https://www.forexfactory.com/thread/1224647-secret-trader
XJO - AUS200,https://www.forexfactory.com/thread/1219819-xjo-aus200
U can call me Al,https://www.forexfactory.com/thread/1224833-u-can-call-me-al
Elliott wave trading,https://www.forexfactory.com/thread/1215209-elliott-wave-trading
"Nadex trading binary options, you better be losing money on that",https://www.forexfactory.com/thread/1223972-nadex-trading-binary-options-you-better-be-losing
SRSD Trading - Tips and Tricks,https://www.forexfactory.com/thread/1206621-srsd-trading-tips-and-tricks
"TMA+CG Mladen indicator problem - rewrite the indicator, please",https://www.forexfactory.com/thread/1024159-tmacg-mladen-indicator-problem-rewrite-the-indicator
Statistical arbitrage and pairs trading on Forex,https://www.forexfactory.com/thread/1129340-statistical-arbitrage-and-pairs-trading-on-forex
US 500 Index Binary Options With NADEX,https://www.forexfactory.com/thread/1096949-us-500-index-binary-options-with-nadex
2019,https://www.forexfactory.com/thread/862431-2019
My Journal,https://www.forexfactory.com/thread/1020878-my-journal
roger44's sight and laboratory,https://www.forexfactory.com/thread/548773-roger44s-sight-and-laboratory
Weekly COT report Analysis + Trade Ideas,https://www.forexfactory.com/thread/216247-weekly-cot-report-analysis-trade-ideas
DAX - sec15,https://www.forexfactory.com/thread/1211735-dax-sec15
Fibonacci Paradise,https://www.forexfactory.com/thread/233392-fibonacci-paradise
"My ""5 Min Binary Option"" journal",https://www.forexfactory.com/thread/1219073-my-5-min-binary-option-journal
my RSI trade strategy (using ea) 2020,https://www.forexfactory.com/thread/1005624-my-rsi-trade-strategy-using-ea-2020
Any one trade with ICT method? let's talk,https://www.forexfactory.com/thread/1223208-any-one-trade-with-ict-method-lets-talk
My Trading Journey - The Dark Side of Trading No One Acknowledges,https://www.forexfactory.com/thread/1223410-my-trading-journey-the-dark-side-of
My journal P/L,https://www.forexfactory.com/thread/969663-my-journal-pl
Zero Excuses,https://www.forexfactory.com/thread/1201191-zero-excuses
"Another Day, Another Chair, Another Day in the Office",https://www.forexfactory.com/thread/486498-another-day-another-chair-another-day-in-the
US30 - 100pips in London session,https://www.forexfactory.com/thread/1161563-us30-100pips-in-london-session
COT: The precious data ignored,https://www.forexfactory.com/thread/972820-cot-the-precious-data-ignored
DOSI: Daily Open Strategy Improved,https://www.forexfactory.com/thread/1110079-dosi-daily-open-strategy-improved
Simulating (to) Success with VSA,https://www.forexfactory.com/thread/1174005-simulating-to-success-with-vsa
"Yieldjunkie's Short-term Sentiment: Indices, Macro Risk Env",https://www.forexfactory.com/thread/1067040-yieldjunkies-short-term-sentiment-indices-macro-risk-env
Retirement Account Project,https://www.forexfactory.com/thread/1222624-retirement-account-project
Plan the Trade,https://www.forexfactory.com/thread/582121-plan-the-trade
Smc-ict concepts ea free,https://www.forexfactory.com/thread/1221583-smc-ict-concepts-ea-free
The Cash Farm,https://www.forexfactory.com/thread/1218190-the-cash-farm
JagzFX Free Trading Tools,https://www.forexfactory.com/thread/730416-jagzfx-free-trading-tools
Tradingwithrayner in swagging the market!,https://www.forexfactory.com/thread/433949-tradingwithrayner-in-swagging-the-market
Wilczur Trading,https://www.forexfactory.com/thread/1220795-wilczur-trading
Composite Operator's footprints [VSA],https://www.forexfactory.com/thread/471407-composite-operators-footprints-vsa
Islander and Medici trade the European open,https://www.forexfactory.com/thread/214628-islander-and-medici-trade-the-european-open
Journal for my Self-improvement,https://www.forexfactory.com/thread/1209031-journal-for-my-self-improvement
EUR/CAD took my account,https://www.forexfactory.com/thread/1220291-eurcad-took-my-account
Trading with George,https://www.forexfactory.com/thread/830576-trading-with-george
Enoch likes indicator scripts and trading logs as well as insight,https://www.forexfactory.com/thread/1214869-enoch-likes-indicator-scripts-and-trading-logs-as
My Grid / My System,https://www.forexfactory.com/thread/1123690-my-grid-my-system
Pythia v1.0 from gannzilla website ( fractal related ) / Gann,https://www.forexfactory.com/thread/1187110-pythia-v10-from-gannzilla-website-fractal-related
RichOffEU,https://www.forexfactory.com/thread/1219904-richoffeu
Lets See....,https://www.forexfactory.com/thread/1215552-lets-see
