thread_name,thread_url
M1 Countertrend Scalping Strategy,https://www.forexfactory.com/thread/1190104-m1-countertrend-scalping-strategy
Power of Two System,https://www.forexfactory.com/thread/1227915-power-of-two-system
"Strat's PASR Long Term, Stress Free Trading",https://www.forexfactory.com/thread/708441-strats-pasr-long-term-stress-free-trading
15 minute opening range Forex,https://www.forexfactory.com/thread/1226358-15-minute-opening-range-forex
"Williams%R, SAR X-over 15 minute candles",https://www.forexfactory.com/thread/989455-williamsr-sar-x-over-15-minute-candles
MA Crossover System that works for me,https://www.forexfactory.com/thread/1190190-ma-crossover-system-that-works-for-me
A very simple system - trade with arrow,https://www.forexfactory.com/thread/592890-a-very-simple-system-trade-with-arrow
S.A.T.O.R.I. - unconventional forex trading,https://www.forexfactory.com/thread/1229154-satori-unconventional-forex-trading?&goto=lastpost
"THV system, final edition",https://www.forexfactory.com/thread/127271-thv-system-final-edition
ISR Method,https://www.forexfactory.com/thread/1223870-isr-method
Free Grid EA Ikarus - From zero to hero,https://www.forexfactory.com/thread/1070898-free-grid-ea-ikarus-from-zero-to
rocky reboot: revisiting rockypoint's renko HA with ema method,https://www.forexfactory.com/thread/1228312-rocky-reboot-revisiting-rockypoints-renko-ha-with-ema
Sure winner - maybe!,https://www.forexfactory.com/thread/1227741-sure-winner-maybe
Trading Made Simple,https://www.forexfactory.com/thread/291622-trading-made-simple
Roadmap - A Way To Read Markets,https://www.forexfactory.com/thread/993524-roadmap-a-way-to-read-markets
"Trade the ""Flow""",https://www.forexfactory.com/thread/943337-trade-the-flow
Noise free system,https://www.forexfactory.com/thread/629608-noise-free-system
v2v dynamic trading system,https://www.forexfactory.com/thread/901713-v2v-dynamic-trading-system
Daily / Intraday Bias Trading,https://www.forexfactory.com/thread/1226706-daily-intraday-bias-trading
"PVSRA  (Price, Volume, S&R Analysis)",https://www.forexfactory.com/thread/540706-pvsra-price-volume-sr-analysis
Comprehensive Technical Analysis expert Mahal,https://www.forexfactory.com/thread/1135518-comprehensive-technical-analysis-expert-mahal
Millionaire Expert (save as EA),https://www.forexfactory.com/thread/1038866-millionaire-expert-save-as-ea
Day trade setup,https://www.forexfactory.com/thread/635859-day-trade-setup
Round Hour Moving Average Cross Strategy,https://www.forexfactory.com/thread/1226245-round-hour-moving-average-cross-strategy
Trading Made Simple(r),https://www.forexfactory.com/thread/917569-trading-made-simpler
Pivot Trading,https://www.forexfactory.com/thread/588764-pivot-trading
Highest Open / Lowest Open Trade,https://www.forexfactory.com/thread/590623-highest-open-lowest-open-trade
US30 PSAR+EMA Simple Strategy,https://www.forexfactory.com/thread/1167551-us30-psarema-simple-strategy
Bionic Chart - The easiest forex navigation,https://www.forexfactory.com/thread/1113712-bionic-chart-the-easiest-forex-navigation
Most Famous Blessing 3.9.6 EA and Setfiles,https://www.forexfactory.com/thread/792598-most-famous-blessing-396-ea-and-setfiles
Order Block Theory - Institutional Trading Method,https://www.forexfactory.com/thread/1061927-order-block-theory-institutional-trading-method
Extreme TMA System,https://www.forexfactory.com/thread/343533-extreme-tma-system
"The Equilibrium, a key to success!",https://www.forexfactory.com/thread/727775-the-equilibrium-a-key-to-success
Renko trading using proven strategy,https://www.forexfactory.com/thread/737224-renko-trading-using-proven-strategy
Alien's Extraterrestrial Visual Systems,https://www.forexfactory.com/thread/463573-aliens-extraterrestrial-visual-systems
Fibo-box trading system,https://www.forexfactory.com/thread/1228115-fibo-box-trading-system
Profitable Renko strategy that needs to be turned into an EA,https://www.forexfactory.com/thread/1035705-profitable-renko-strategy-that-needs-to-be-turned
TDA with IMT,https://www.forexfactory.com/thread/942920-tda-with-imt
Trading based on Number Systems,https://www.forexfactory.com/thread/1228363-trading-based-on-number-systems
Notable numbers strategy,https://www.forexfactory.com/thread/1182304-notable-numbers-strategy
Fractal Geometry,https://www.forexfactory.com/thread/1057466-fractal-geometry
Unlocking Gold Trading Success: Intense 1-Minute Scalping System,https://www.forexfactory.com/thread/1225068-unlocking-gold-trading-success-intense-1-minute-scalping-system
PTZ Based on Volume Spread Analysis and Harmonic Patterns,https://www.forexfactory.com/thread/677199-ptz-based-on-volume-spread-analysis-and-harmonic
Moving Average Trend Strength - Based on Percentage price gain,https://www.forexfactory.com/thread/1227210-moving-average-trend-strength-based-on-percentage
Head & Shoulders - Any Time Frame,https://www.forexfactory.com/thread/1227078-head-shoulders-any-time-frame
Sniper Entries w/ Half-Trend RSI Pullback Strategy,https://www.forexfactory.com/thread/1227360-sniper-entries-w-half-trend-rsi-pullback-strategy
System Made Simple,https://www.forexfactory.com/thread/1224744-system-made-simple
Lets Automate a Simple Renko Strategy!,https://www.forexfactory.com/thread/531783-lets-automate-a-simple-renko-strategy
Simple H1 GBPUSD EA,https://www.forexfactory.com/thread/231650-simple-h1-gbpusd-ea
Straightforward Bands with Stochastic,https://www.forexfactory.com/thread/1225462-straightforward-bands-with-stochastic
Simple Mean Reversion,https://www.forexfactory.com/thread/743125-simple-mean-reversion
Swing + Light Martingale Strategy,https://www.forexfactory.com/thread/1227361-swing-light-martingale-strategy
Hedge and Correlation Strategy,https://www.forexfactory.com/thread/160912-hedge-and-correlation-strategy
Level in Level out,https://www.forexfactory.com/thread/1217147-level-in-level-out
Trading the Cable swings via averages,https://www.forexfactory.com/thread/849587-trading-the-cable-swings-via-averages
Richard Demille Wyckoff Method,https://www.forexfactory.com/thread/369763-richard-demille-wyckoff-method
DHR - Daily Half Range Strategy,https://www.forexfactory.com/thread/1220028-dhr-daily-half-range-strategy
Free EA - Moving Average,https://www.forexfactory.com/thread/622804-free-ea-moving-average
TDI Shark Fin,https://www.forexfactory.com/thread/1219986-tdi-shark-fin
Magic 100,https://www.forexfactory.com/thread/989445-magic-100
Golden-Cross Trading-Idea,https://www.forexfactory.com/thread/1207682-golden-cross-trading-idea
Everything is possible here - sharing my EA,https://www.forexfactory.com/thread/978463-everything-is-possible-here-sharing-my-ea
1H Swing Trading on EURUSD,https://www.forexfactory.com/thread/970975-1h-swing-trading-on-eurusd
Opening price US30,https://www.forexfactory.com/thread/1064458-opening-price-us30
Scalperzmania Scalping Technique (Inverted) from Malaysia,https://www.forexfactory.com/thread/246930-scalperzmania-scalping-technique-inverted-from-malaysia
Trendline Break (The Only System You Need),https://www.forexfactory.com/thread/163012-trendline-break-the-only-system-you-need
Jackson Zones Trading,https://www.forexfactory.com/thread/963087-jackson-zones-trading
Equity Guardian EA,https://www.forexfactory.com/thread/1003301-equity-guardian-ea
EA 1% a Day / SuperTrap12,https://www.forexfactory.com/thread/1221713-ea-1-a-day-supertrap12
Bollinger & MA,https://www.forexfactory.com/thread/1184536-bollinger-ma
Monthly Profit - Daily Trading using SMA,https://www.forexfactory.com/thread/600112-monthly-profit-daily-trading-using-sma
Al System,https://www.forexfactory.com/thread/606164-al-system
