file_name,download_url,downloads,date,topic_name,category,post_url,post#
Account.docx,/attachment/file/1163359?d=1364830679,1320,"FirstPost:Apr 1, 2013 6:27pmApr 1, 2013 6:27pm",Is demo a step before real trading?,Rookie Talk,https://www.forexfactory.com/thread/post/6562998#post6562998,5
ASCTrend.mq4,/attachment/file/4194930?d=1651266344,90,"Feb 2, 2022 2:06pmFeb 2, 2022 2:06pm",Any Advice for a Beginner?,Rookie Talk,https://www.forexfactory.com/thread/post/13986486#post13986486,110
CHO.mq4,/attachment/file/4194931?d=1651266358,90,"Feb 2, 2022 2:06pmFeb 2, 2022 2:06pm",Any Advice for a Beginner?,Rookie Talk,https://www.forexfactory.com/thread/post/13986486#post13986486,110
TrendFlat.mq4,/attachment/file/4194932?d=1651266373,90,"Feb 2, 2022 2:06pmFeb 2, 2022 2:06pm",Any Advice for a Beginner?,Rookie Talk,https://www.forexfactory.com/thread/post/13986486#post13986486,110
EX-Holygrail.rar,/attachment/file/1904042?d=1460495730,178,"Mar 31, 2016 10:24pmMar 31, 2016 10:24pm",20% per month. Is this possible?,Rookie Talk,https://www.forexfactory.com/thread/post/8869445#post8869445,360
4TraitsAllSuccessfulForexMillionaireStoriesHaveinCommon.pdf,/attachment/file/1886651?d=1458671927,414,"Mar 22, 2016 10:52pmMar 22, 2016 10:52pm",I plan to quit forex!,Rookie Talk,https://www.forexfactory.com/thread/post/8830022#post8830022,786
The Top Ten Mistakes Forex Traders Make.pdf,/attachment/file/3496287?d=1574627856,244,"Nov 18, 2019 9:41pmNov 18, 2019 9:41pm",Why 99% of traders lose money,Rookie Talk,https://www.forexfactory.com/thread/post/12631201#post12631201,252
fxcm-traits-of-successful-traders-guide.pdf,/attachment/file/1143431?d=1361961034,1502,"May 17, 2010 1:55pmMay 17, 2010 1:55pm",Why do Newbies Lose?,Rookie Talk,https://www.forexfactory.com/thread/post/6477717#post6477717,39
DetailedStatement.pdf,/attachment/file/322691?d=1253819589,455,"Sep 23, 2009 1:02pmSep 23, 2009 1:02pm",Do you use stoploss?,Rookie Talk,https://www.forexfactory.com/thread/post/3090882#post3090882,33
Money Management Calculator.zip,/attachment/file/32495?d=1179723882,11758,"FirstPost:May 21, 2007 11:21amMay 21, 2007 11:21am",Money Management Calculator,Rookie Talk,https://www.forexfactory.com/thread/30501-money-management-calculator,1
Money Management Calculator.zip,/attachment/file/32500?d=1179726264,6578,"FirstPost:May 21, 2007 11:21amMay 21, 2007 11:21am",Money Management Calculator,Rookie Talk,https://www.forexfactory.com/thread/post/1446421#post1446421,2
Money Management Calculator 3.zip,/attachment/file/33211?d=1180170716,2501,"FirstPost:May 21, 2007 11:21amMay 21, 2007 11:21am",Money Management Calculator,Rookie Talk,https://www.forexfactory.com/thread/post/1451406#post1451406,11
Money Management Calculator 4.zip,/attachment/file/33235?d=1180224289,1839,"FirstPost:May 21, 2007 11:21amMay 21, 2007 11:21am",Money Management Calculator,Rookie Talk,https://www.forexfactory.com/thread/post/1451621#post1451621,14
Money Management Calculator 5.zip,/attachment/file/33654?d=1180590988,3470,"FirstPost:May 21, 2007 11:21amMay 21, 2007 11:21am",Money Management Calculator,Rookie Talk,https://www.forexfactory.com/thread/post/1454798#post1454798,16
Trade_Journal.zip,/attachment/file/40732?d=1185526468,1857,"Jul 9, 2007 7:11pmJul 9, 2007 7:11pm",Money Management Calculator,Rookie Talk,https://www.forexfactory.com/thread/post/1511525#post1511525,23
GoWithFlow - Strategy.xlsx,/attachment/file/2941583?d=1534186641,6821,"FirstPost:Edited May 20, 2020 4:28pmMay 16, 2018 8:38pm|Edited                    May 20, 2020 4:28pm",Success with Martingale & Hedge - Possible?,Rookie Talk,https://www.forexfactory.com/thread/765739-success-with-martingale-hedge-possible,1
GoWithFlow.mq4,/attachment/file/3637347?d=1589654197,6821,"FirstPost:Edited May 20, 2020 4:28pmMay 16, 2018 8:38pm|Edited                    May 20, 2020 4:28pm",Success with Martingale & Hedge - Possible?,Rookie Talk,https://www.forexfactory.com/thread/765739-success-with-martingale-hedge-possible,1
GoWithFlow.ex4,/attachment/file/3637348?d=1589654206,6821,"FirstPost:Edited May 20, 2020 4:28pmMay 16, 2018 8:38pm|Edited                    May 20, 2020 4:28pm",Success with Martingale & Hedge - Possible?,Rookie Talk,https://www.forexfactory.com/thread/765739-success-with-martingale-hedge-possible,1
#Quanttec.ex4,/attachment/file/3008860?d=1537879296,364,"Sep 25, 2018 6:02pmSep 25, 2018 6:02pm",Success with Martingale & Hedge - Possible?,Rookie Talk,https://www.forexfactory.com/thread/post/11514084#post11514084,203
Quanttec User Manual.pdf,/attachment/file/3008862?d=1537879304,364,"Sep 25, 2018 6:02pmSep 25, 2018 6:02pm",Success with Martingale & Hedge - Possible?,Rookie Talk,https://www.forexfactory.com/thread/post/11514084#post11514084,203
Set_File.txt,/attachment/file/3010575?d=1537957126,407,"Sep 25, 2018 6:02pmSep 25, 2018 6:02pm",Success with Martingale & Hedge - Possible?,Rookie Talk,https://www.forexfactory.com/thread/post/11518092#post11518092,211
GoWithFlow.mq5,/attachment/file/3036050?d=1539276698,348,"Oct 3, 2018 1:37pmOct 3, 2018 1:37pm",Success with Martingale & Hedge - Possible?,Rookie Talk,https://www.forexfactory.com/thread/post/11573805#post11573805,252
gwf_set_file.txt,/attachment/file/3076425?d=1541569842,470,"Oct 30, 2018 6:56pmOct 30, 2018 6:56pm",Success with Martingale & Hedge - Possible?,Rookie Talk,https://www.forexfactory.com/thread/post/11666305#post11666305,300
GoWithFlow_profit.mq4,/attachment/file/3083883?d=1541986339,528,"Nov 7, 2018 7:51pmNov 7, 2018 7:51pm",Success with Martingale & Hedge - Possible?,Rookie Talk,https://www.forexfactory.com/thread/post/11682313#post11682313,306
GoWithFlow_EURUSD_20180812.set.txt,/attachment/file/3085598?d=1542065630,263,"Nov 7, 2018 7:51pmNov 7, 2018 7:51pm",Success with Martingale & Hedge - Possible?,Rookie Talk,https://www.forexfactory.com/thread/post/11684884#post11684884,309
GoWithFlow_profit_edge.mq4,/attachment/file/3085601?d=1542065884,660,"Nov 7, 2018 7:51pmNov 7, 2018 7:51pm",Success with Martingale & Hedge - Possible?,Rookie Talk,https://www.forexfactory.com/thread/post/11686212#post11686212,310
GoWithFlow_profit_edge_MOD1.mq4,/attachment/file/3094165?d=1542394177,755,"Nov 7, 2018 7:51pmNov 7, 2018 7:51pm",Success with Martingale & Hedge - Possible?,Rookie Talk,https://www.forexfactory.com/thread/post/11707021#post11707021,318
#Quanttec.ex4,/attachment/file/3107950?d=1543320532,401,"Nov 23, 2018 8:15pmNov 23, 2018 8:15pm",Success with Martingale & Hedge - Possible?,Rookie Talk,https://www.forexfactory.com/thread/post/11739651#post11739651,380
gwf.ex4,/attachment/file/3189984?d=1548793011,619,"Jan 3, 2019 6:48pmJan 3, 2019 6:48pm",Success with Martingale & Hedge - Possible?,Rookie Talk,https://www.forexfactory.com/thread/post/11941016#post11941016,408
gwfeu15.txt,/attachment/file/3189987?d=1548793053,619,"Jan 3, 2019 6:48pmJan 3, 2019 6:48pm",Success with Martingale & Hedge - Possible?,Rookie Talk,https://www.forexfactory.com/thread/post/11941016#post11941016,408
EU_M_AM_RM_V26.01_Test.ex4,/attachment/file/3325715?d=1556627037,478,"Apr 27, 2019 5:21pmApr 27, 2019 5:21pm",Success with Martingale & Hedge - Possible?,Rookie Talk,https://www.forexfactory.com/thread/post/12246388#post12246388,450
26.01_Set.txt,/attachment/file/3325717?d=1556627064,478,"Apr 27, 2019 5:21pmApr 27, 2019 5:21pm",Success with Martingale & Hedge - Possible?,Rookie Talk,https://www.forexfactory.com/thread/post/12246388#post12246388,450
EU_M_AM_RM_V22.06h_Test.ex4,/attachment/file/3327586?d=1556797914,552,"Apr 27, 2019 5:21pmApr 27, 2019 5:21pm",Success with Martingale & Hedge - Possible?,Rookie Talk,https://www.forexfactory.com/thread/post/12250494#post12250494,451
22.06h_Set.txt,/attachment/file/3327587?d=1556797932,552,"Apr 27, 2019 5:21pmApr 27, 2019 5:21pm",Success with Martingale & Hedge - Possible?,Rookie Talk,https://www.forexfactory.com/thread/post/12250494#post12250494,451
StrategyTester 22.6.pdf,/attachment/file/3329273?d=1556993812,346,"May 4, 2019 10:41pmMay 4, 2019 10:41pm",Success with Martingale & Hedge - Possible?,Rookie Talk,https://www.forexfactory.com/thread/post/12254396#post12254396,462
usdcadm1.txt,/attachment/file/3333994?d=1557489945,189,"May 4, 2019 10:41pmMay 4, 2019 10:41pm",Success with Martingale & Hedge - Possible?,Rookie Talk,https://www.forexfactory.com/thread/post/12265645#post12265645,468
Terminator.EA.v2.1.1.ex4,/attachment/file/3336339?d=1557817585,546,"May 4, 2019 10:41pmMay 4, 2019 10:41pm",Success with Martingale & Hedge - Possible?,Rookie Talk,https://www.forexfactory.com/thread/post/12270863#post12270863,471
...............ex4,/attachment/file/3337144?d=1557898767,628,"May 4, 2019 10:41pmMay 4, 2019 10:41pm",Success with Martingale & Hedge - Possible?,Rookie Talk,https://www.forexfactory.com/thread/post/12272779#post12272779,480
GoWithFlow - Strategy.xls,/attachment/file/3362601?d=1560705978,566,"May 15, 2019 1:18pmMay 15, 2019 1:18pm",Success with Martingale & Hedge - Possible?,Rookie Talk,https://www.forexfactory.com/thread/post/12331907#post12331907,483
Majorkiller peak.ex4,/attachment/file/3362602?d=1560705985,566,"May 15, 2019 1:18pmMay 15, 2019 1:18pm",Success with Martingale & Hedge - Possible?,Rookie Talk,https://www.forexfactory.com/thread/post/12331907#post12331907,483
Breakout signal.ex4,/attachment/file/3362603?d=1560705989,566,"May 15, 2019 1:18pmMay 15, 2019 1:18pm",Success with Martingale & Hedge - Possible?,Rookie Talk,https://www.forexfactory.com/thread/post/12331907#post12331907,483
GoWithFlow_101.mq4,/attachment/file/3437256?d=1568246790,627,"Aug 7, 2019 6:58pmAug 7, 2019 6:58pm",Success with Martingale & Hedge - Possible?,Rookie Talk,https://www.forexfactory.com/thread/post/12497527#post12497527,509
GoWithFlow.mq4,/attachment/file/3863089?d=1613320382,761,"Jul 8, 2020 5:01pmJul 8, 2020 5:01pm",Success with Martingale & Hedge - Possible?,Rookie Talk,https://www.forexfactory.com/thread/post/13408451#post13408451,589
AutoTrade_ver01.ex4,/attachment/file/917980?d=1331615316,531,"Mar 13, 2012 2:12amMar 13, 2012 2:12am","20 pips per day, is there anyone can help me?",Rookie Talk,https://www.forexfactory.com/thread/post/5468710#post5468710,42
G - TPSL.mq4,/attachment/file/4309482?d=1665730067,49,"FirstPost:May 15, 2012 6:19pmMay 15, 2012 6:19pm",Compounding growth and lot size limits?,Rookie Talk,https://www.forexfactory.com/thread/post/14179748#post14179748,6
G - TPSL .mq4,/attachment/file/4452379?d=1683290978,18,"FirstPost:May 15, 2012 6:19pmMay 15, 2012 6:19pm",Compounding growth and lot size limits?,Rookie Talk,https://www.forexfactory.com/thread/post/14417075#post14417075,7
percentGainWithWinLossPercent.rar,/attachment/file/916687?d=1331418128,116,"Jul 4, 2011 3:32pmJul 4, 2011 3:32pm",Is high leverage really bad for traders?,Rookie Talk,https://www.forexfactory.com/thread/post/5462577#post5462577,88
ELabunskyVolaPresser v1.01.mq4,/attachment/file/1631882?d=1426360632,669,"Feb 27, 2014 9:20pmFeb 27, 2014 9:20pm",Expert Advisor: Did you create your own successful EA?,Rookie Talk,https://www.forexfactory.com/thread/post/8137344#post8137344,32
phillip nel's systems.tpl,/attachment/file/191402?d=1231912663,403,"FirstPost:Mar 5, 2007 7:53amMar 5, 2007 7:53am",Why moving averages are important?,Rookie Talk,https://www.forexfactory.com/thread/post/2467455#post2467455,7
WEEK05.pdf,/attachment/file/198774?d=1233400555,667,"Jan 31, 2009 5:02pmJan 31, 2009 5:02pm",Trading forex profitable is impossible!,Rookie Talk,https://www.forexfactory.com/thread/post/2506271#post2506271,82
AWESOME-Forex-Trading-Strategy-(never-lose-again).pdf,/attachment/file/4367316?d=1672999462,89,"FirstPost:Dec 20, 2022 7:26amDec 20, 2022 7:26am",Is there a free Profitable EA in FF?,Rookie Talk,https://www.forexfactory.com/thread/post/14278449#post14278449,4
