thread_name,thread_url
Auction Market Theory and Market Profile,https://www.forexfactory.com/thread/277528-auction-market-theory-and-market-profile
Questions for real pros: How to trade with reference points only?,https://www.forexfactory.com/thread/1222790-questions-for-real-pros-how-to-trade-with
This guy is a Mean reversion monster trader,https://www.forexfactory.com/thread/1212528-this-guy-is-a-mean-reversion-monster-trader
Flying Dutchman,https://www.forexfactory.com/thread/1069425-flying-dutchman
Currency Strength,https://www.forexfactory.com/thread/1227030-currency-strength
The Myth of Averaging,https://www.forexfactory.com/thread/1226242-the-myth-of-averaging
S.A.T.O.R.I. - unconventional forex trading,https://www.forexfactory.com/thread/1229154-satori-unconventional-forex-trading
What kind of music you hear while you trade?,https://www.forexfactory.com/thread/147443-what-kind-of-music-you-hear-while-you
The Finance Book Club,https://www.forexfactory.com/thread/993609-the-finance-book-club
Price Will Tell - Supply/Demand Price Action Trading,https://www.forexfactory.com/thread/529372-price-will-tell-supplydemand-price-action-trading
"Analysis and Trading based on Envelopes, Waves, Cycles",https://www.forexfactory.com/thread/709088-analysis-and-trading-based-on-envelopes-waves-cycles
Forex Prop firm vs Personal High Leveraged Account,https://www.forexfactory.com/thread/1184732-forex-prop-firm-vs-personal-high-leveraged-account
News trading discussion - continuation,https://www.forexfactory.com/thread/518501-news-trading-discussion-continuation
Objective Thinking And Trading,https://www.forexfactory.com/thread/1064069-objective-thinking-and-trading
Ninja Update (USDJPY),https://www.forexfactory.com/thread/1225710-ninja-update-usdjpy
Benefits of using risk management,https://www.forexfactory.com/thread/1219357-benefits-of-using-risk-management
Youtube Channels - The good and the bad ones,https://www.forexfactory.com/thread/1216012-youtube-channels-the-good-and-the-bad
Bionic Forex Algorithms,https://www.forexfactory.com/thread/1151943-bionic-forex-algorithms
Does MT5 BackTester Include Margin,https://www.forexfactory.com/thread/1228572-does-mt5-backtester-include-margin
"CME Trading Challenge - FX, Equities, Energy, Crypto, Metals",https://www.forexfactory.com/thread/1134717-cme-trading-challenge-fx-equities-energy-crypto
Trading large lot quantities into lower volume pairs,https://www.forexfactory.com/thread/1227621-trading-large-lot-quantities-into-lower-volume-pairs
Old School Percentage Trading,https://www.forexfactory.com/thread/1104571-old-school-percentage-trading
FX Counting Candles,https://www.forexfactory.com/thread/1226837-fx-counting-candles
Have a quick question about Fundamental Analysis and Grid Trading,https://www.forexfactory.com/thread/1228007-have-a-quick-question-about-fundamental-analysis-and
Using the Kelly Criterion in actual trading,https://www.forexfactory.com/thread/1144543-using-the-kelly-criterion-in-actual-trading
What is this System/Indicator?,https://www.forexfactory.com/thread/1227785-what-is-this-systemindicator
Do you laugh with excitement at someone's loss?,https://www.forexfactory.com/thread/1226452-do-you-laugh-with-excitement-at-someones-loss
Renko Trading Discussion,https://www.forexfactory.com/thread/561530-renko-trading-discussion
Any non-repaint indicators that work well trading forex,https://www.forexfactory.com/thread/500840-any-non-repaint-indicators-that-work-well-trading-forex
1:1 Risk/Reward Frowned Upon?,https://www.forexfactory.com/thread/1058596-11-riskreward-frowned-upon
Is this the correct way to draw S&R lines?,https://www.forexfactory.com/thread/1227656-is-this-the-correct-way-to-draw-sr
Are there still any traders utilizing the Matrix Genesis system?,https://www.forexfactory.com/thread/1227575-are-there-still-any-traders-utilizing-the-matrix
Why it is possible to predict price movement?,https://www.forexfactory.com/thread/359093-why-it-is-possible-to-predict-price-movement
why do people share profitable systems?,https://www.forexfactory.com/thread/367419-why-do-people-share-profitable-systems
